question,answer,contexts,ground_truth,retrieved_doc_ids,relevant_doc_ids,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,retrieval_precision,retrieval_recall,retrieval_hit
What is the self-attention mechanism in Transformers and why is it important?,"The self-attention mechanism is a mechanism that processes all positions in a sequence simultaneously, unlike recurrent neural networks (RNNs). It computes attention scores between all pairs of positions.

This mechanism is important because it allows the model to capture long-range dependencies efficiently.","[""The Transformer is a deep learning architecture introduced in the paper \""Attention Is All You Need\"" by Vaswani et al. in 2017. Unlike recurrent neural networks (RNNs), Transformers process all positions in a sequence simultaneously using a mechanism called self-attention. The architecture consists of an encoder and a decoder, each made up of multiple layers. Each layer in the encoder has two sub-layers: a multi-head self-attention mechanism and a position-wise fully connected feed-forward network. The"", ""attention runs multiple attention functions in parallel, allowing the model to attend to information from different representation subspaces. The Transformer has become the foundation for most modern NLP models, including BERT, GPT, and T5."", ""and a position-wise fully connected feed-forward network. The decoder has an additional cross-attention sub-layer. Transformers use positional encoding to inject information about the position of tokens in the sequence, since the architecture itself has no inherent notion of order. The self-attention mechanism computes attention scores between all pairs of positions, allowing the model to capture long-range dependencies efficiently. Multi-head attention runs multiple attention functions in parallel,"", ""alternatives like LLaMA, Mistral, and Qwen. LLMs exhibit emergent capabilities such as in-context learning, chain-of-thought reasoning, and instruction following. Fine-tuning techniques include supervised fine-tuning (SFT), reinforcement learning from human feedback (RLHF), and parameter-efficient methods like LoRA. Challenges include hallucination (generating plausible but incorrect information), context window limitations, computational costs, and safety concerns. The trend toward smaller, more efficient""]","Self-attention is a mechanism that computes attention scores between all pairs of positions in a sequence, allowing the model to capture long-range dependencies efficiently. Unlike RNNs, it processes all positions simultaneously.","[""doc_001"", ""doc_006""]","[""doc_001""]",1.0,1.0,0.98,1.0,1.0,0.5,1.0,1.0
What are the main components of a RAG system?,"In a RAG system, when a query is received, the main components are:

1.  A **retriever component**, which searches a knowledge base to find relevant documents.
2.  A **language model**, which uses the retrieved documents as context to generate an answer.","[""Vector databases are specialized database systems designed to store, index, and query high-dimensional vector data efficiently. They are essential infrastructure for AI applications that rely on similarity search, such as recommendation systems, image retrieval, and RAG systems. Popular vector databases include Pinecone, Weaviate, Qdrant, Milvus, and ChromaDB. These databases use approximate nearest neighbor (ANN) algorithms like HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the"", ""attention runs multiple attention functions in parallel, allowing the model to attend to information from different representation subspaces. The Transformer has become the foundation for most modern NLP models, including BERT, GPT, and T5."", ""alternatives like LLaMA, Mistral, and Qwen. LLMs exhibit emergent capabilities such as in-context learning, chain-of-thought reasoning, and instruction following. Fine-tuning techniques include supervised fine-tuning (SFT), reinforcement learning from human feedback (RLHF), and parameter-efficient methods like LoRA. Challenges include hallucination (generating plausible but incorrect information), context window limitations, computational costs, and safety concerns. The trend toward smaller, more efficient""]","A RAG system consists of a retriever component that searches a knowledge base for relevant documents, and a language model that generates answers grounded in the retrieved information. The retrieval typically uses dense vector embeddings to find similar passages.","[""doc_003"", ""doc_002"", ""doc_001"", ""doc_006""]","[""doc_002""]",1.0,1.0,1.0,1.0,0.95,0.25,1.0,1.0
"How does BM25 differ from vector-based retrieval, and why is hybrid search effective?","BM25 is a lexical search method used for keyword-heavy queries and exact term matching. In contrast, vector-based retrieval performs semantic search by computing distances (such as cosine similarity, Euclidean distance, or dot product) between vector representations to find items that are semantically similar.

Hybrid search is effective because it combines the strengths of both approaches: BM25 (lexical search) and dense vector retrieval (semantic search).","[""tasks, especially for keyword-heavy queries and exact term matching. Hybrid search combines BM25 (lexical search) with dense vector retrieval (semantic search) to leverage the strengths of both approaches. In hybrid search, scores from both methods are typically combined using reciprocal rank fusion (RRF) or linear interpolation. Cross-encoder re-ranking is often applied as a second stage: after retrieving candidates from both BM25 and vector search, a cross-encoder model scores each query-document pair"", ""Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization) to enable fast similarity search at scale. Unlike traditional databases that use exact matching, vector databases find items that are semantically similar by computing distances (cosine similarity, Euclidean distance, or dot product) between vector representations. Key features include support for metadata filtering, hybrid search (combining vector and keyword search), real-time indexing, and horizontal scaling. ChromaDB is an"", ""Vector databases are specialized database systems designed to store, index, and query high-dimensional vector data efficiently. They are essential infrastructure for AI applications that rely on similarity search, such as recommendation systems, image retrieval, and RAG systems. Popular vector databases include Pinecone, Weaviate, Qdrant, Milvus, and ChromaDB. These databases use approximate nearest neighbor (ANN) algorithms like HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ"", ""vector search, keyword search, or structured queries based on query type; (3) Self-reflection - the agent checks whether retrieved context is sufficient before generating; (4) Tool use - the agent can call APIs, databases, or calculators as needed. Frameworks like LangGraph and CrewAI enable building agentic RAG systems with state management and multi-step reasoning. While agentic RAG improves answer quality for complex queries, it introduces challenges in latency (multiple LLM calls), cost, debugging""]","BM25 is a probabilistic lexical ranking function based on term frequency and document length, while vector retrieval uses dense embeddings for semantic similarity. Hybrid search combines both to leverage BM25's strength in exact term matching with vector search's semantic understanding. Re-ranking with cross-encoders further improves results.","[""doc_005"", ""doc_003"", ""doc_009""]","[""doc_005""]",1.0,1.0,1.0,1.0,0.95,0.3333333333333333,1.0,1.0
What is faithfulness in the context of RAG evaluation?,Faithfulness measures whether claims in the answer are supported by retrieved context.,"[""context, answer relevancy measures topical alignment with the question, and answer correctness compares against ground truth references. The RAGAS framework (2024-2026) has become the de facto standard for automated RAG evaluation, using LLM-as-judge methodology. Newer evaluation approaches include reference-free evaluation (no ground truth needed), component-level diagnostics (pinpointing whether failures come from retrieval, context selection, or generation), and adversarial testing (probing for"", ""Evaluating RAG systems requires measuring both retrieval quality and generation quality across multiple dimensions. For retrieval, the primary metrics are context precision (fraction of retrieved passages that are relevant), context recall (fraction of ground-truth relevant passages that are retrieved), and NDCG (Normalized Discounted Cumulative Gain). For generation, faithfulness measures whether claims in the answer are supported by retrieved context, answer relevancy measures topical alignment with the"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the"", ""BM25 (Best Matching 25) is a probabilistic ranking function used in information retrieval. It is an improvement over the classic TF-IDF approach, incorporating document length normalization and term frequency saturation. BM25 scores documents based on the query terms appearing in each document, considering term frequency, inverse document frequency, and document length. Despite the rise of neural retrievers, BM25 remains competitive for many search tasks, especially for keyword-heavy queries and exact term""]","Faithfulness measures whether the generated answer is supported by the retrieved context. It assesses if the claims in the answer can be traced back to the information in the retrieved documents, rather than being hallucinated.","[""doc_004"", ""doc_002"", ""doc_005""]","[""doc_004""]",0.95,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
What are the different chunking strategies for RAG and how do they affect retrieval quality?,"The choice of chunking strategy significantly impacts retrieval quality.

Common chunking strategies include:
*   **Fixed-size chunking:** Splitting documents by character or token count, often with overlap.
*   **Sentence-based chunking:** Splitting the document at sentence boundaries.
*   **Paragraph-based chunking:** Utilizing the document's inherent structure.
*   **Semantic chunking:** Grouping sentences that are semantically similar together.

Advanced strategies include:
*   **Hierarchical chunking:** Maintaining parent-child relationships between chunks.
*   **Agentic chunking:** Using a Large Language Model (LLM) to determine the optimal split points.
*   **Late chunking:** Embedding full documents first, and then splitting them.

Regarding the effect on retrieval quality, the context notes a general trade-off:
*   **Smaller chunks** provide more precise retrieval but may lack context.
*   **Larger chunks** preserve context but may include irrelevant information.","[""Chunking is the process of splitting documents into smaller segments for indexing in a RAG system. The choice of chunking strategy significantly impacts retrieval quality. Common approaches include fixed-size chunking (splitting by character or token count with overlap), sentence-based chunking (splitting at sentence boundaries), paragraph-based chunking (using document structure), and semantic chunking (grouping semantically similar sentences together). Key parameters include chunk size (typically 256-1024"", ""Key parameters include chunk size (typically 256-1024 tokens) and chunk overlap (typically 10-20% of chunk size). Smaller chunks provide more precise retrieval but may lack context; larger chunks preserve context but may include irrelevant information. Advanced strategies include hierarchical chunking (maintaining parent-child relationships between chunks), agentic chunking (using an LLM to determine optimal split points), and late chunking (embedding full documents first, then splitting). The optimal"", ""BM25 (Best Matching 25) is a probabilistic ranking function used in information retrieval. It is an improvement over the classic TF-IDF approach, incorporating document length normalization and term frequency saturation. BM25 scores documents based on the query terms appearing in each document, considering term frequency, inverse document frequency, and document length. Despite the rise of neural retrievers, BM25 remains competitive for many search tasks, especially for keyword-heavy queries and exact term"", ""Evaluating RAG systems requires measuring both retrieval quality and generation quality across multiple dimensions. For retrieval, the primary metrics are context precision (fraction of retrieved passages that are relevant), context recall (fraction of ground-truth relevant passages that are retrieved), and NDCG (Normalized Discounted Cumulative Gain). For generation, faithfulness measures whether claims in the answer are supported by retrieved context, answer relevancy measures topical alignment with the""]","Common chunking strategies include fixed-size, sentence-based, paragraph-based, and semantic chunking. Smaller chunks provide more precise retrieval but may lack context, while larger chunks preserve context but may include irrelevant information. Advanced strategies include hierarchical and agentic chunking.","[""doc_008"", ""doc_005"", ""doc_004""]","[""doc_008""]",1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
What algorithms do vector databases use for similarity search?,"Vector databases use approximate nearest neighbor (ANN) algorithms such as HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization) to enable fast similarity search at scale.","[""Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization) to enable fast similarity search at scale. Unlike traditional databases that use exact matching, vector databases find items that are semantically similar by computing distances (cosine similarity, Euclidean distance, or dot product) between vector representations. Key features include support for metadata filtering, hybrid search (combining vector and keyword search), real-time indexing, and horizontal scaling. ChromaDB is an"", ""Vector databases are specialized database systems designed to store, index, and query high-dimensional vector data efficiently. They are essential infrastructure for AI applications that rely on similarity search, such as recommendation systems, image retrieval, and RAG systems. Popular vector databases include Pinecone, Weaviate, Qdrant, Milvus, and ChromaDB. These databases use approximate nearest neighbor (ANN) algorithms like HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ"", ""tasks, especially for keyword-heavy queries and exact term matching. Hybrid search combines BM25 (lexical search) with dense vector retrieval (semantic search) to leverage the strengths of both approaches. In hybrid search, scores from both methods are typically combined using reciprocal rank fusion (RRF) or linear interpolation. Cross-encoder re-ranking is often applied as a second stage: after retrieving candidates from both BM25 and vector search, a cross-encoder model scores each query-document pair"", ""vector search, keyword search, or structured queries based on query type; (3) Self-reflection - the agent checks whether retrieved context is sufficient before generating; (4) Tool use - the agent can call APIs, databases, or calculators as needed. Frameworks like LangGraph and CrewAI enable building agentic RAG systems with state management and multi-step reasoning. While agentic RAG improves answer quality for complex queries, it introduces challenges in latency (multiple LLM calls), cost, debugging""]","Vector databases use approximate nearest neighbor (ANN) algorithms including HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization) to enable fast similarity search at scale.","[""doc_003"", ""doc_005"", ""doc_009""]","[""doc_003""]",1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
What is GraphRAG and how does it improve over standard vector-based RAG?,I don't have enough information to answer this.,"[""Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization) to enable fast similarity search at scale. Unlike traditional databases that use exact matching, vector databases find items that are semantically similar by computing distances (cosine similarity, Euclidean distance, or dot product) between vector representations. Key features include support for metadata filtering, hybrid search (combining vector and keyword search), real-time indexing, and horizontal scaling. ChromaDB is an"", ""Vector databases are specialized database systems designed to store, index, and query high-dimensional vector data efficiently. They are essential infrastructure for AI applications that rely on similarity search, such as recommendation systems, image retrieval, and RAG systems. Popular vector databases include Pinecone, Weaviate, Qdrant, Milvus, and ChromaDB. These databases use approximate nearest neighbor (ANN) algorithms like HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ"", ""real-time indexing, and horizontal scaling. ChromaDB is an open-source embedding database that emphasizes simplicity and developer experience, supporting both in-memory and persistent storage modes."", ""alternatives like LLaMA, Mistral, and Qwen. LLMs exhibit emergent capabilities such as in-context learning, chain-of-thought reasoning, and instruction following. Fine-tuning techniques include supervised fine-tuning (SFT), reinforcement learning from human feedback (RLHF), and parameter-efficient methods like LoRA. Challenges include hallucination (generating plausible but incorrect information), context window limitations, computational costs, and safety concerns. The trend toward smaller, more efficient""]","GraphRAG combines graph-based retrieval with language model generation. It extracts entities and relationships into a knowledge graph, enabling structured retrieval that captures multi-hop relationships that vector similarity search might miss. Advantages include better handling of complex relational queries and explicit reasoning chains.","[""doc_003"", ""doc_006""]","[""doc_007""]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the main challenges of large language models?,"The main challenges mentioned are:

1.  Safety concerns.
2.  The limitation of LLMs having static, potentially outdated knowledge.

(The context also mentions challenges related to Knowledge Graphs, including the cost of graph construction, maintaining graph quality, and scaling to large knowledge bases.)","[""and safety concerns. The trend toward smaller, more efficient models (like Phi, Gemma) shows that capability can be achieved without extreme scale."", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the"", ""evidence. However, challenges include the cost of graph construction, maintaining graph quality, and scaling to large knowledge bases."", ""Large Language Models (LLMs) are neural networks trained on massive text corpora to understand and generate human language. Modern LLMs are based on the Transformer architecture and are typically trained using next-token prediction (autoregressive models like GPT) or masked language modeling (models like BERT). Key milestones include GPT-3 (175 billion parameters, 2020), ChatGPT (RLHF-trained GPT-3.5, 2022), GPT-4 (multimodal, 2023), and open-source alternatives like LLaMA, Mistral, and Qwen. LLMs exhibit""]","Key challenges include hallucination (generating plausible but incorrect information), context window limitations, high computational costs, and safety concerns. These limitations motivate techniques like RAG for grounding outputs in factual sources.","[""doc_006"", ""doc_002"", ""doc_007""]","[""doc_006""]",1.0,0.8,0.6,0.3,0.5,0.3333333333333333,1.0,1.0
How does RAGAS evaluate RAG systems?,"The RAGAS framework has become the de facto standard for automated RAG evaluation, using LLM-as-judge methodology.","[""context, answer relevancy measures topical alignment with the question, and answer correctness compares against ground truth references. The RAGAS framework (2024-2026) has become the de facto standard for automated RAG evaluation, using LLM-as-judge methodology. Newer evaluation approaches include reference-free evaluation (no ground truth needed), component-level diagnostics (pinpointing whether failures come from retrieval, context selection, or generation), and adversarial testing (probing for"", ""Evaluating RAG systems requires measuring both retrieval quality and generation quality across multiple dimensions. For retrieval, the primary metrics are context precision (fraction of retrieved passages that are relevant), context recall (fraction of ground-truth relevant passages that are retrieved), and NDCG (Normalized Discounted Cumulative Gain). For generation, faithfulness measures whether claims in the answer are supported by retrieved context, answer relevancy measures topical alignment with the"", ""attention runs multiple attention functions in parallel, allowing the model to attend to information from different representation subspaces. The Transformer has become the foundation for most modern NLP models, including BERT, GPT, and T5."", ""the language model, which generates an answer grounded in the retrieved information. Modern RAG systems in 2025-2026 have evolved significantly: agentic RAG uses AI agents to dynamically decide retrieval strategies; corrective RAG (CRAG) adds a verification step to assess retrieval quality; and self-RAG enables the model to decide when retrieval is necessary. Key challenges include retrieval quality, faithfulness hallucination, conflicting information, and the cost-latency tradeoff of multi-stage""]","RAGAS provides automated evaluation using LLM-as-judge approaches, measuring metrics like faithfulness, answer relevancy, context precision, context recall, and answer correctness. It uses a language model to assess these qualities automatically.","[""doc_004"", ""doc_001"", ""doc_002""]","[""doc_004""]",0.6,0.7,0.7,0.6,0.8,0.3333333333333333,1.0,1.0
What is the difference between naive RAG and advanced RAG?,I don't have enough information to answer this.,"[""alternatives like LLaMA, Mistral, and Qwen. LLMs exhibit emergent capabilities such as in-context learning, chain-of-thought reasoning, and instruction following. Fine-tuning techniques include supervised fine-tuning (SFT), reinforcement learning from human feedback (RLHF), and parameter-efficient methods like LoRA. Challenges include hallucination (generating plausible but incorrect information), context window limitations, computational costs, and safety concerns. The trend toward smaller, more efficient"", ""Large Language Models (LLMs) are neural networks trained on massive text corpora to understand and generate human language. Modern LLMs are based on the Transformer architecture and are typically trained using next-token prediction (autoregressive models like GPT) or masked language modeling (models like BERT). Key milestones include GPT-3 (175 billion parameters, 2020), ChatGPT (RLHF-trained GPT-3.5, 2022), GPT-4 (multimodal, 2023), and open-source alternatives like LLaMA, Mistral, and Qwen. LLMs exhibit"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the"", ""Evaluating RAG systems requires measuring both retrieval quality and generation quality across multiple dimensions. For retrieval, the primary metrics are context precision (fraction of retrieved passages that are relevant), context recall (fraction of ground-truth relevant passages that are retrieved), and NDCG (Normalized Discounted Cumulative Gain). For generation, faithfulness measures whether claims in the answer are supported by retrieved context, answer relevancy measures topical alignment with the""]","Naive RAG uses a simple retrieve-then-generate approach. Advanced RAG adds techniques like query rewriting, re-ranking, and filtering to improve retrieval and generation quality. Modular RAG further introduces interchangeable components for flexible pipeline design.","[""doc_006"", ""doc_002"", ""doc_004""]","[""doc_002""]",0.0,0.1,0.1,0.0,0.0,0.3333333333333333,1.0,1.0
