question,answer,contexts,ground_truth,retrieved_doc_ids,relevant_doc_ids,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,retrieval_precision,retrieval_recall,retrieval_hit
What is the self-attention mechanism in Transformers and why is it important?,"The self-attention mechanism is a process that allows Transformers to process all positions in a sequence simultaneously, unlike recurrent neural networks (RNNs). It computes attention scores between all pairs of positions, which allows the model to capture long-range dependencies efficiently.","[""and a position-wise fully connected feed-forward network. The decoder has an additional cross-attention sub-layer. Transformers use positional encoding to inject information about the position of tokens in the sequence, since the architecture itself has no inherent notion of order. The self-attention mechanism computes attention scores between all pairs of positions, allowing the model to capture long-range dependencies efficiently. Multi-head attention runs multiple attention functions in parallel,"", ""The Transformer is a deep learning architecture introduced in the paper \""Attention Is All You Need\"" by Vaswani et al. in 2017. Unlike recurrent neural networks (RNNs), Transformers process all positions in a sequence simultaneously using a mechanism called self-attention. The architecture consists of an encoder and a decoder, each made up of multiple layers. Each layer in the encoder has two sub-layers: a multi-head self-attention mechanism and a position-wise fully connected feed-forward network. The"", ""attention runs multiple attention functions in parallel, allowing the model to attend to information from different representation subspaces. The Transformer has become the foundation for most modern NLP models, including BERT, GPT, and T5."", ""the answer addresses the question), and answer correctness (whether the answer matches the ground truth). The RAGAS framework provides automated evaluation using LLM-as-judge approaches, where a language model assesses these qualities. Beyond automated metrics, human evaluation remains important for assessing aspects like fluency, completeness, and usefulness. A/B testing in production environments can measure real-world impact metrics such as user satisfaction and task completion rates. Regression testing""]","Self-attention is a mechanism that computes attention scores between all pairs of positions in a sequence, allowing the model to capture long-range dependencies efficiently. Unlike RNNs, it processes all positions simultaneously.","[""doc_001"", ""doc_004""]","[""doc_001""]",1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
What are the main components of a RAG system?,"A RAG system includes a retriever component, which searches a knowledge base for relevant documents when a query is received, and a language model, which then generates an answer grounded in those retrieved documents.","[""the language model, which generates an answer grounded in the retrieved information. The retrieval step typically uses dense vector representations (embeddings) of both the query and documents, computing similarity scores to find the most relevant passages. RAG systems can be categorized into naive RAG (simple retrieve-then-generate), advanced RAG (with query rewriting, re-ranking, and filtering), and modular RAG (with interchangeable components). Key challenges in RAG include retrieval quality, context"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the"", ""Evaluating RAG systems requires measuring both retrieval quality and generation quality. Common retrieval metrics include context precision (what fraction of retrieved documents are relevant), context recall (what fraction of relevant documents are retrieved), and Mean Reciprocal Rank (MRR). For generation quality, key metrics include faithfulness (whether the generated answer is supported by the retrieved context), answer relevancy (whether the answer addresses the question), and answer correctness"", ""Chunking is the process of splitting documents into smaller segments for indexing in a RAG system. The choice of chunking strategy significantly impacts retrieval quality. Common approaches include fixed-size chunking (splitting by character or token count with overlap), sentence-based chunking (splitting at sentence boundaries), paragraph-based chunking (using document structure), and semantic chunking (grouping semantically similar sentences together). Key parameters include chunk size (typically 256-1024""]","A RAG system consists of a retriever component that searches a knowledge base for relevant documents, and a language model that generates answers grounded in the retrieved information. The retrieval typically uses dense vector embeddings to find similar passages.","[""doc_002"", ""doc_004"", ""doc_008""]","[""doc_002""]",1.0,1.0,1.0,1.0,0.95,0.3333333333333333,1.0,1.0
"How does BM25 differ from vector-based retrieval, and why is hybrid search effective?","BM25 is a lexical search that scores documents based on query terms, considering term frequency, inverse document frequency, and document length, making it effective for keyword-heavy queries and exact term matching. In contrast, vector databases find items that are semantically similar by computing distances (such as cosine similarity, Euclidean distance, or dot product) between vector representations.

Hybrid search is effective because it combines BM25's lexical search with dense vector retrieval's semantic search, allowing it to leverage the strengths of both approaches.","[""tasks, especially for keyword-heavy queries and exact term matching. Hybrid search combines BM25 (lexical search) with dense vector retrieval (semantic search) to leverage the strengths of both approaches. In hybrid search, scores from both methods are typically combined using reciprocal rank fusion (RRF) or linear interpolation. Cross-encoder re-ranking is often applied as a second stage: after retrieving candidates from both BM25 and vector search, a cross-encoder model scores each query-document pair"", ""BM25 (Best Matching 25) is a probabilistic ranking function used in information retrieval. It is an improvement over the classic TF-IDF approach, incorporating document length normalization and term frequency saturation. BM25 scores documents based on the query terms appearing in each document, considering term frequency, inverse document frequency, and document length. Despite the rise of neural retrievers, BM25 remains competitive for many search tasks, especially for keyword-heavy queries and exact term"", ""Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization) to enable fast similarity search at scale. Unlike traditional databases that use exact matching, vector databases find items that are semantically similar by computing distances (cosine similarity, Euclidean distance, or dot product) between vector representations. Key features include support for metadata filtering, hybrid search (combining vector and keyword search), real-time indexing, and horizontal scaling. ChromaDB is an"", ""Vector databases are specialized database systems designed to store, index, and query high-dimensional vector data efficiently. They are essential infrastructure for AI applications that rely on similarity search, such as recommendation systems, image retrieval, and RAG systems. Popular vector databases include Pinecone, Weaviate, Qdrant, Milvus, and ChromaDB. These databases use approximate nearest neighbor (ANN) algorithms like HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ""]","BM25 is a probabilistic lexical ranking function based on term frequency and document length, while vector retrieval uses dense embeddings for semantic similarity. Hybrid search combines both to leverage BM25's strength in exact term matching with vector search's semantic understanding. Re-ranking with cross-encoders further improves results.","[""doc_005"", ""doc_003""]","[""doc_005""]",1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
What is faithfulness in the context of RAG evaluation?,"Faithfulness is a key metric for generation quality in RAG systems, measuring whether the generated answer is supported by the retrieved context.","[""Evaluating RAG systems requires measuring both retrieval quality and generation quality. Common retrieval metrics include context precision (what fraction of retrieved documents are relevant), context recall (what fraction of relevant documents are retrieved), and Mean Reciprocal Rank (MRR). For generation quality, key metrics include faithfulness (whether the generated answer is supported by the retrieved context), answer relevancy (whether the answer addresses the question), and answer correctness"", ""Key challenges in RAG include retrieval quality, context window limitations, faithfulness of generated answers to retrieved context, and handling conflicting information across sources."", ""the answer addresses the question), and answer correctness (whether the answer matches the ground truth). The RAGAS framework provides automated evaluation using LLM-as-judge approaches, where a language model assesses these qualities. Beyond automated metrics, human evaluation remains important for assessing aspects like fluency, completeness, and usefulness. A/B testing in production environments can measure real-world impact metrics such as user satisfaction and task completion rates. Regression testing"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the""]","Faithfulness measures whether the generated answer is supported by the retrieved context. It assesses if the claims in the answer can be traced back to the information in the retrieved documents, rather than being hallucinated.","[""doc_004"", ""doc_002""]","[""doc_004""]",1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
What are the different chunking strategies for RAG and how do they affect retrieval quality?,"The choice of chunking strategy significantly impacts retrieval quality.

Common chunking strategies include:
*   **Fixed-size chunking:** Splitting by character or token count with overlap.
*   **Sentence-based chunking:** Splitting at sentence boundaries.
*   **Paragraph-based chunking:** Using document structure.
*   **Semantic chunking:** Grouping semantically similar sentences together.

Advanced strategies include:
*   **Hierarchical chunking:** Maintaining parent-child relationships between chunks.
*   **Agentic chunking:** Using an LLM to determine optimal split points.
*   **Late chunking:** Embedding full documents first, then splitting.

Regarding the effect on retrieval quality, the context notes that smaller chunks provide more precise retrieval but may lack context, while larger chunks preserve context but may include irrelevant information.","[""Chunking is the process of splitting documents into smaller segments for indexing in a RAG system. The choice of chunking strategy significantly impacts retrieval quality. Common approaches include fixed-size chunking (splitting by character or token count with overlap), sentence-based chunking (splitting at sentence boundaries), paragraph-based chunking (using document structure), and semantic chunking (grouping semantically similar sentences together). Key parameters include chunk size (typically 256-1024"", ""Evaluating RAG systems requires measuring both retrieval quality and generation quality. Common retrieval metrics include context precision (what fraction of retrieved documents are relevant), context recall (what fraction of relevant documents are retrieved), and Mean Reciprocal Rank (MRR). For generation quality, key metrics include faithfulness (whether the generated answer is supported by the retrieved context), answer relevancy (whether the answer addresses the question), and answer correctness"", ""Key parameters include chunk size (typically 256-1024 tokens) and chunk overlap (typically 10-20% of chunk size). Smaller chunks provide more precise retrieval but may lack context; larger chunks preserve context but may include irrelevant information. Advanced strategies include hierarchical chunking (maintaining parent-child relationships between chunks), agentic chunking (using an LLM to determine optimal split points), and late chunking (embedding full documents first, then splitting). The optimal"", ""the language model, which generates an answer grounded in the retrieved information. The retrieval step typically uses dense vector representations (embeddings) of both the query and documents, computing similarity scores to find the most relevant passages. RAG systems can be categorized into naive RAG (simple retrieve-then-generate), advanced RAG (with query rewriting, re-ranking, and filtering), and modular RAG (with interchangeable components). Key challenges in RAG include retrieval quality, context""]","Common chunking strategies include fixed-size, sentence-based, paragraph-based, and semantic chunking. Smaller chunks provide more precise retrieval but may lack context, while larger chunks preserve context but may include irrelevant information. Advanced strategies include hierarchical and agentic chunking.","[""doc_008"", ""doc_004"", ""doc_002""]","[""doc_008""]",1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
What algorithms do vector databases use for similarity search?,"Vector databases use approximate nearest neighbor (ANN) algorithms, such as HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization).

Additionally, they find items that are semantically similar by computing distances using metrics like cosine similarity, Euclidean distance, or dot product.","[""Vector databases are specialized database systems designed to store, index, and query high-dimensional vector data efficiently. They are essential infrastructure for AI applications that rely on similarity search, such as recommendation systems, image retrieval, and RAG systems. Popular vector databases include Pinecone, Weaviate, Qdrant, Milvus, and ChromaDB. These databases use approximate nearest neighbor (ANN) algorithms like HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ"", ""Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization) to enable fast similarity search at scale. Unlike traditional databases that use exact matching, vector databases find items that are semantically similar by computing distances (cosine similarity, Euclidean distance, or dot product) between vector representations. Key features include support for metadata filtering, hybrid search (combining vector and keyword search), real-time indexing, and horizontal scaling. ChromaDB is an"", ""the language model, which generates an answer grounded in the retrieved information. The retrieval step typically uses dense vector representations (embeddings) of both the query and documents, computing similarity scores to find the most relevant passages. RAG systems can be categorized into naive RAG (simple retrieve-then-generate), advanced RAG (with query rewriting, re-ranking, and filtering), and modular RAG (with interchangeable components). Key challenges in RAG include retrieval quality, context"", ""tasks, especially for keyword-heavy queries and exact term matching. Hybrid search combines BM25 (lexical search) with dense vector retrieval (semantic search) to leverage the strengths of both approaches. In hybrid search, scores from both methods are typically combined using reciprocal rank fusion (RRF) or linear interpolation. Cross-encoder re-ranking is often applied as a second stage: after retrieving candidates from both BM25 and vector search, a cross-encoder model scores each query-document pair""]","Vector databases use approximate nearest neighbor (ANN) algorithms including HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ (Product Quantization) to enable fast similarity search at scale.","[""doc_003"", ""doc_002"", ""doc_005""]","[""doc_003""]",1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
What is GraphRAG and how does it improve over standard vector-based RAG?,GraphRAG is an approach that combines graph-based retrieval with language model generation. It improves over standard vector similarity search by enabling structured retrieval that can capture multi-hop relationships that vector similarity search might miss.,"[""Knowledge graphs represent information as entities (nodes) and relationships (edges), forming a structured network of facts. Major knowledge graphs include Wikidata, Google Knowledge Graph, and domain-specific graphs in medicine, finance, and science. In the context of RAG, knowledge graphs enable structured retrieval that can capture multi-hop relationships that vector similarity search might miss. GraphRAG is an approach that combines graph-based retrieval with language model generation. The process"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the"", ""the language model, which generates an answer grounded in the retrieved information. The retrieval step typically uses dense vector representations (embeddings) of both the query and documents, computing similarity scores to find the most relevant passages. RAG systems can be categorized into naive RAG (simple retrieve-then-generate), advanced RAG (with query rewriting, re-ranking, and filtering), and modular RAG (with interchangeable components). Key challenges in RAG include retrieval quality, context"", ""Vector databases are specialized database systems designed to store, index, and query high-dimensional vector data efficiently. They are essential infrastructure for AI applications that rely on similarity search, such as recommendation systems, image retrieval, and RAG systems. Popular vector databases include Pinecone, Weaviate, Qdrant, Milvus, and ChromaDB. These databases use approximate nearest neighbor (ANN) algorithms like HNSW (Hierarchical Navigable Small World), IVF (Inverted File Index), and PQ""]","GraphRAG combines graph-based retrieval with language model generation. It extracts entities and relationships into a knowledge graph, enabling structured retrieval that captures multi-hop relationships that vector similarity search might miss. Advantages include better handling of complex relational queries and explicit reasoning chains.","[""doc_007"", ""doc_002"", ""doc_003""]","[""doc_007""]",1.0,0.98,1.0,0.9,0.95,0.3333333333333333,1.0,1.0
What are the main challenges of large language models?,"LLMs have the limitation of having static, potentially outdated knowledge.","[""Large Language Models (LLMs) are neural networks trained on massive text corpora to understand and generate human language. Modern LLMs are based on the Transformer architecture and are typically trained using next-token prediction (autoregressive models like GPT) or masked language modeling (models like BERT). Key milestones include GPT-3 (175 billion parameters, 2020), ChatGPT (RLHF-trained GPT-3.5, 2022), GPT-4 (multimodal, 2023), and open-source alternatives like LLaMA, Mistral, and Qwen. LLMs exhibit"", ""the language model, which generates an answer grounded in the retrieved information. The retrieval step typically uses dense vector representations (embeddings) of both the query and documents, computing similarity scores to find the most relevant passages. RAG systems can be categorized into naive RAG (simple retrieve-then-generate), advanced RAG (with query rewriting, re-ranking, and filtering), and modular RAG (with interchangeable components). Key challenges in RAG include retrieval quality, context"", ""retrieval with language model generation. The process typically involves: extracting entities and relationships from text, constructing or updating a knowledge graph, performing graph queries (e.g., finding paths between entities), and using the retrieved subgraph as context for generation. Advantages of graph-based retrieval include better handling of complex relational queries, explicit reasoning chains, and reduced hallucination through structured evidence. However, challenges include the cost of graph"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the""]","Key challenges include hallucination (generating plausible but incorrect information), context window limitations, high computational costs, and safety concerns. These limitations motivate techniques like RAG for grounding outputs in factual sources.","[""doc_006"", ""doc_002"", ""doc_007""]","[""doc_006""]",0.95,0.8,0.3,0.5,0.4,0.3333333333333333,1.0,1.0
How does RAGAS evaluate RAG systems?,"The RAGAS framework provides automated evaluation using LLM-as-judge approaches, where a language model assesses the qualities of the system.","[""Evaluating RAG systems requires measuring both retrieval quality and generation quality. Common retrieval metrics include context precision (what fraction of retrieved documents are relevant), context recall (what fraction of relevant documents are retrieved), and Mean Reciprocal Rank (MRR). For generation quality, key metrics include faithfulness (whether the generated answer is supported by the retrieved context), answer relevancy (whether the answer addresses the question), and answer correctness"", ""the answer addresses the question), and answer correctness (whether the answer matches the ground truth). The RAGAS framework provides automated evaluation using LLM-as-judge approaches, where a language model assesses these qualities. Beyond automated metrics, human evaluation remains important for assessing aspects like fluency, completeness, and usefulness. A/B testing in production environments can measure real-world impact metrics such as user satisfaction and task completion rates. Regression testing"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the"", ""the language model, which generates an answer grounded in the retrieved information. The retrieval step typically uses dense vector representations (embeddings) of both the query and documents, computing similarity scores to find the most relevant passages. RAG systems can be categorized into naive RAG (simple retrieve-then-generate), advanced RAG (with query rewriting, re-ranking, and filtering), and modular RAG (with interchangeable components). Key challenges in RAG include retrieval quality, context""]","RAGAS provides automated evaluation using LLM-as-judge approaches, measuring metrics like faithfulness, answer relevancy, context precision, context recall, and answer correctness. It uses a language model to assess these qualities automatically.","[""doc_004"", ""doc_002""]","[""doc_004""]",0.9,0.9,0.7,0.9,0.8,0.5,1.0,1.0
What is the difference between naive RAG and advanced RAG?,"Naive RAG is defined as a simple retrieve-then-generate process, while advanced RAG includes features such as query rewriting, re-ranking, and filtering.","[""the language model, which generates an answer grounded in the retrieved information. The retrieval step typically uses dense vector representations (embeddings) of both the query and documents, computing similarity scores to find the most relevant passages. RAG systems can be categorized into naive RAG (simple retrieve-then-generate), advanced RAG (with query rewriting, re-ranking, and filtering), and modular RAG (with interchangeable components). Key challenges in RAG include retrieval quality, context"", ""Retrieval-Augmented Generation (RAG) is a technique that enhances large language models by combining them with external knowledge retrieval. First introduced by Lewis et al. in 2020, RAG addresses the limitation of LLMs having static, potentially outdated knowledge. In a RAG system, when a query is received, a retriever component searches a knowledge base to find relevant documents. These retrieved documents are then provided as context to the language model, which generates an answer grounded in the"", ""Key challenges in RAG include retrieval quality, context window limitations, faithfulness of generated answers to retrieved context, and handling conflicting information across sources."", ""Evaluating RAG systems requires measuring both retrieval quality and generation quality. Common retrieval metrics include context precision (what fraction of retrieved documents are relevant), context recall (what fraction of relevant documents are retrieved), and Mean Reciprocal Rank (MRR). For generation quality, key metrics include faithfulness (whether the generated answer is supported by the retrieved context), answer relevancy (whether the answer addresses the question), and answer correctness""]","Naive RAG uses a simple retrieve-then-generate approach. Advanced RAG adds techniques like query rewriting, re-ranking, and filtering to improve retrieval and generation quality. Modular RAG further introduces interchangeable components for flexible pipeline design.","[""doc_002"", ""doc_004""]","[""doc_002""]",1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
